W9999	W9998	W9997	W9996	W9995	W9994	W9993	W9992	W9991	W9630	W9400	W9304	W9303	W9302	W9300	W9200	W9001	W9000	W880	W868	W8500	W8361	W8351	W8324	W8318	W8300	W8200	W8113	W770	W720	W712	W701	W70	W6713	W6600	W6500	W647	W646	W643	W642	W6413	W641	W6400	W640	W64	W633	W632	W631	W6300	W630	W63	W628	W627	W626	W625	W624	W623	W622	W621	W6200	W620	W62	W617	W616	W6135	W6125	W6123	W6121	W6120	W6119	W6117	W6115	W6113	W6111	W6110	W6100	W610	W61	W603	W6000	W600	W60	W598	W59	W520	W52	W512	W51	W509	W505	W504	W502	W501	W500	W50	W4700	W4536	W4522	W4521	W4514	W4512	W4511	W4400	W4348	W4342	W4340	W4331	W4330	W4322	W4321	W4320	W4318	W4317	W4312	W4310	W4304	W43	W4220	W4212	W4211	W4210	W4200	W42	W410	W41	W4000	W400	W40	W3700	W361	W350	W341	W340	W3200	W320	W314	W313	W3100	W310	W31	W308	W307	W306	W304	W303	W302	W301	W300	W30	W2990	W2980	W2938	W2800	W2560	W2550	W2528	W2527	W2526	W2524	W2523	W2521	W2513	W2511	W241	W240	W23	W221	W220	W211	W2100	W204	W202	W201	W1930	W1827	W1823	W1810	W17	W169	W164	W1600	W160	W16	W1511	W1510	W143	W14	W123	W1224	W122	W1200	W12	W118	W114	W112	W110	W11	W10	TWwolffish	TWwelk	TWunknownivert	TWunknownfish	TWstarfish	TWsquid	TWsnakeblenny	TWskate	TWseasnail	TWseapen	TWsea urchins	TWsculpin	TWhake	TWgunnel	TWellpout	TWcrab	TWcod	TWclam	TWalligatorfish	TRAWLNUMshort	TRAWLNUM	TPwolffish	TPwelk	TPunknowninvert	TPunknownfish	TPstarfish	TPsquid	TPsnakeblenny	TPskate	TPseasnail	TPseapen	TPsea urchins	TPsculpin	TPhake	TPgunnel	TPellpout	TPcrab	TPcod	TPcockle	TPclam	TPalligatorish	timestamp	Temp_weight	Temp_count	TCwolffish	TCwelk	TCunknowninvert	TCunknownfish	TCstarfish	TCsquid	TCsnakeblenny	TCskate	TCseasnail	TCseapen	TCsea urchins	TCsculpin	TChake	TCgunnel	TCellpout	TCcrab	TCcod	TCcockle	TCclam	TCalligatorfish	SpeciesInfoLong	SpeciesInfo	P9999	P9998	P9997	P9996	P9995	P9994	P9993	P9992	P9991	P9630	P9400	P9304	P9303	P9302	P9300	P9200	P9001	P9000	P880	P868	P8500	P8361	P8351	P8324	P8318	P8300	P8200	P8113	P770	P720	P712	P701	P70	P6713	P6600	P6500	P647	P646	P643	P642	P6413	P641	P6400	P640	P64	P633	P632	P631	P6300	P630	P63	P628	P627	P626	P625	P624	P623	P622	P621	P6200	P620	P62	P617	P616	P6135	P6125	P6123	P6121	P6120	P6119	P6117	P6115	P6113	P6111	P6110	P6100	P610	P61	P603	P6000	P600	P60	P598	P59	P520	P52	P512	P51	P509	P505	P504	P502	P501	P500	P50	P4700	P4536	P4522	P4521	P4514	P4512	P4511	P4400	P4348	P4342	P4340	P4331	P4330	P4322	P4321	P4320	P4318	P4317	P4312	P4310	P4304	P43	P4220	P4212	P4211	P4210	P4200	P42	P410	P41	P4000	P400	P40	P3700	P361	P350	P341	P340	P3200	P320	P314	P313	P3100	P310	P31	P308	P307	P306	P304	P303	P302	P301	P300	P30	P2990	P2980	P2938	P2800	P2560	P2550	P2528	P2527	P2526	P2524	P2523	P2521	P2513	P2511	P241	P240	P23	P221	P220	P211	P2100	P204	P202	P201	P1930	P1827	P1823	P1810	P17	P169	P164	P1600	P160	P16	P1511	P1510	P143	P14	P123	P1224	P122	P1200	P12	P118	P114	P112	P110	P11	P10	Measure fish message for main menu	Measure fish message	Measure fish flag for main menu	Measure fish flag	Location	GPnum_wt_year	GPnum	g_filterText	Date_tow_num	DATE	dataentrybox weight	dataentrybox Townum	dataentrybox GPnum	dataentrybox count	dataentrybox comment	dataentrybox code	COMMENT	Code_entry	code_calc	class_data	C9999	C9998	C9997	C9996	C9995	C9994	C9993	C9992	C9991	C9630	C9400	C9303	C9302	C9304	C9300	C9200	C9001	C9000	C880	C868	C8500	C8361	C8351	C8324	C8318	C8300	C8200	C8113	C770	C720	C712	C701	C70	C6713	C6600	C6500	C647	C646	C643	C642	C6413	C641	C6400	C640	C64	C633	C632	C631	C6300	C630	C63	C628	C627	C626	C625	C624	C623	C622	C621	C6200	C620	C62	C617	C616	C6135	C6125	C6123	C6121	C6120	C6119	C6117	C6115	C6113	C6111	C6110	C6100	C610	C61	C603	C6000	C600	C60	C598	C59	C520	C52	C512	C51	C509	C505	C504	C502	C501	C500	C50	C4700	C4536	C4522	C4521	C4514	C4512	C4511	C4400	C4348	C4342	C4340	C4331	C4330	C4322	C4321	C4320	C4318	C4317	C4312	C4310	C4304	C43	C4220	C4212	C4211	C4210	C4200	C42	C410	C41	C4000	C400	C40	C3700	C361	C350	C341	C340	C3200	C320	C314	C313	C3100	C310	C31	C308	C307	C306	C304	C303	C302	C301	C300	C30	C2990	C2980	C2938	C2800	C2560	C2550	C2528	C2527	C2526	C2524	C2523	C2521	C2513	C2511	C241	C240	C23	C221	C220	C211	C2100	C204	C202	C201	C1930	C1827	C1823	C1810	C17	C169	C164	C1600	C160	C16	C1511	C1510	C143	C14	C123	C1224	C122	C1200	C12	C118	C114	C112	C110	C11	C10	_W303	_P303	_C303	__pk_sample_id	C8364	W8364	P8364	P8365	W8365	C8365	C8600	P8600	W8600	W8602	P8602	C8602	C8608	P8608	W8608	W8609	P8609	C8609	C8610	P8610	W8610	W8611	P8611	C8611	C8612	P8612	W8612	W8613	P8613	C8613	C8614	P8614	W8614	W8616	P8616	C8616	C8617	P8617	W8617	W8618	P8618	C8618	C8619	P8619	W8619	W8620	P8620	C8620	C8621	P8621	W8621	W8623	P8623	C8623	C8625	P8625	W8625	W8626	P8626	C8626	C8627	P8627	W8627	W8628	P8628	C8628	C8629	P8629	W8629	W8630	P8630	C8630	C8631	P8631	W8631	W8632	P8632	C8632	C8633	P8633	W8633	W8634	P8634	C8634	C8635	P8635	W8635	W8636	P8636	C8636	C8637	P8637	W8637	W8638	P8638	C8638	W8639	C8639	P8639	W8640	P8640	C8640	C8641	P8641	W8641	W8642	P8642	C8642	C8643	P8643	W8643	W8644	P8644	C8644	C8645	P8645	W8645	W8646	P8646	C8646	C8647	P8647	W8647	W8648	P8648	C8648	C8649	P8649	W8649	W8650	P8650	C8650	C8651	P8651	W8651	TCsponge	TWsponge	TPsponge	TCsponge2	TWsponge2	TPsponge2	W205	C205	P205	P6114	W6114	C6114	C8347	W8347	P8347	P8346	W8346	C8346	C8348	W8348	P8348	P6101	W6101	C6101	C6131	W6131	P6131	P6129	W6129	C6129	P619	C619	W619	W2893	P2893	C2893
																																										3.82		0.02																						0.18																																																						1.34				1.89			7.36																0.08										0.18												0.02							3.08																									3.24		1.34			0.18			3.08			3.82	0.08				0.18	3.24			GP089	7		1			1			1			1	1				1	1				8/14/2019 15:13				67			3			6			67	4				8	7																																																1		1																						1																																																						1				1			1																1										1												1							1																									1		Measure Fish	0	1		G19_GP089F	GP089F			8/14/2019						Code																																															67		1																						3																																																						67				4			100																4										8												1							6																									7				D3668806-4BF1-4B66-9D46-5E4E177D4838																																																																																																																																																																											
																		0.01							0.03																	2.81						50.18												0.42						0.37																																										0.03												0.23							4.8					0.01																					0.02							0.06					0.02							3.91			2.26																						2.65		0.23			50.55			3.91			2.81	0.01			0.42	0.08	2.65		0.01	GP103	8		1			1			1			1	1			1	1	1			1	8/14/2019 16:11				7			157			13			91	1			5	7	11			1																					1							1																	1						1												1						1																																										1												1							1					1																					1							1					1							1			1																						1		Measure Fish	0	1		G19_GP103F	GP103F			8/14/2019					Comment																								1							1																	91						154												5						3																																										1												7							53					1																					1							6					1							13			19																						11				15FC6667-C640-4732-AB73-292E09B67C8F																																																																																											1	1	1.74																																											1	1.74	1																																	
																																																																																																																																																																																																																									GP130	9																					8/14/2019 17:24																																																																																																																																																																																																																																	0	0		G19_GP130F	GP130F			8/14/2019					Comment		Bad tow																																																																																																																																																																																																													4E053C73-0ACE-4F28-82E6-867A27052FCA																																																																																																																																																																											
																																																																																																																																																																																																																									GP130	10																					8/14/2019 18:35																																																																																																																																																																																																																																	0	0		G19_GP130A1	GP130A1			8/14/2019					Comment		Bad tow																																																																																																																																																																																																													D5ADEF21-21CE-4F6C-BC2E-9B748E29C06A																																																																																																																																																																											
																																										0.78																														0.28																			0.12																																									0.01		0.12									0.03		0.83		0.59	0.12												1.59															4.38																						0.46					0.28						0.78	1.45				1.59	0.46		0.01	GP130	11					1						1	1				1	1			1	8/14/2019 19:27							2						32	14				18	5			1																																													1																														1																			1																																									1		1									1		1		1	1												1															1																						1			0	0		G19_GP130A2	GP130A2			8/14/2019			GPnum																																																		32																														2																			1																																									1		1									3		7		4	1												18															64																						5				3C8F25C3-56E4-48D3-9DA4-C6E52C9938F3																																																																																																																																																																											
																							0.17		0.24										0.3							6.58						70.43																																																																								0.04				0.58			11.96																0.03		0.08															0.82												0.72			8.25																						1.21		0.04			70.43			0.72			6.58	0.11				0.82	1.21			GP138	1		1			1			1			1	1				1	1				8/15/2019 4:50				1			197			2			141	3				27	4																													1		1										1							1						1																																																																								1				1			1																1		1															1												1			1																						1			0	0		G19_GP138F	GP138F			8/15/2019					Comment																													9		4										11							141						197																																																																								1				1			218																2		1															27												2			84																						4				837F24AF-34EB-4A08-B8ED-5D74326438C6																																																																																																																																																																											
																																																																																																																												49.84			2.58																																1.11						128.6						1.1	13.6														0.16					1.24						17								14.7					1.4			1.11	17			GP166	2								1					1			1	1				8/15/2019 6:43										45					5			2	21																																																																																																																																		1			1																																1						1						1	1														1					1						1			0	0		G19_GP166F	GP166F			8/15/2019					Comment																																																																																																																																		179			23																																2						649						8	37														1					4						21				2C9EDF2C-E573-4D75-BBB0-C3FE1816F16C																																																																			1	1	1.21																						1	1	1.33																1	1	0.58																									3	3.12	1																																	
																									0.46																																																																																																		0.09	1.48															1.78																										58.19						0.29	1.89																																	2.18												GP187	3								1													8/15/2019 8:12										4																																								1																																																																																																		1	1															1																										1						1	1																												0	0		G19_GP187F	GP187F			8/15/2019					Comment																															5																																																																																																		3	5															1																										324						2	2																													053609DB-C0FD-401A-92EF-F2D0303DA9D2																																																																																																																																																																											
																									2.45															0.77																															0.18																											0.03																										0.54			0.58												1.5																				0.81						53.34							0.78																			3.24		0.12									0.18			0.78			0.77		3.24			0.81				GP203	4					1			1			1		1			1					8/15/2019 10:02							25			2			45		6			2																																1															1																															1																											1																										1			1												1																				1						1							1																			1		1							0	0		G19_GP203F	GP203F			8/15/2019					Comment																															14															45																															25																											1																										3			2												2																				2						353							2																			6		2								2F4F7FB2-5868-44F8-A63F-2CB7A3053AE5																																																																																																																																																																											
																																										0.92											0.01																																																																										0.88																		0.07																											1.4																									1.06							0.01	1.4			0.92	0.07					1.06			GP181	5							1	1			1	1					1				8/15/2019 11:50									1	5			32	1					2																																																1											1																																																																										1																		1																											1																									1		Measure Fish	0	1		G19_GP181F	GP181F			8/15/2019						Code																																															32											1																																																																										12																		1																											5																									2				C7EAB59E-72D5-464D-8517-A1D4A299B605																																		1.45	1	1																												2.84	1	1																																																																						2	4.29	1																																	
																																										2.95						2.28																																																																															0.68																																																																						4.32					2.28						2.95						4.32			GP165	6					1						1						1				8/15/2019 14:04							8						118						15																																																1						1																																																																															1																																																																						1			0	0		G19_GP165F	GP165F			8/15/2019						Code																																															118						8																																																																															11																																																																						15				2DCFDD5C-E068-4E8E-90CE-60D7B3BE52EB																																		4.59	1	1																									1	1	0.22	1.79	1	1																																																																						3	6.6	1																																	
																																		0.12	0.06							8.3						19.12												0.42						2.06																																																						0.01				0.48			5.39			0.04																0.19																			0.02							0.76																									0.29		0.01			21.18			0.76			8.3	0.19			0.42		0.29		0.04	GP152	7		1			1			1			1	1			1		1			1	8/15/2019 15:28				1			89			5			214	1			3		1			1																																					1	1							1						1												1						1																																																						1				1			1			1																1																			1							1																									1			0	0		G19_GP152F	GP152F			8/15/2019						Code																																							1	3							214						74												3						15																																																						1				1			219			1																1																			1							5																									1				DFF51547-9356-4814-A091-3393071A5295																																																																																																																																																																											
																																										4.29						3.42												0.22						0.37																																																													2.85			0.04						0.01																								0.01												0.06			0.16																						0.49					3.79			0.06			4.29	0.01			0.22	0.01	0.49		0.04	GP153	8					1			1			1	1			1	1	1			1	8/15/2019 16:42							17			1			136	1			1	1	1			1																																													1						1												1						1																																																													1			1						1																								1												1			1																						1			0	0		G19_GP153F	GP153F			8/15/2019						Code																																															136						14												1						3																																																													52			1						1																								1												1			13																						1				978B583A-FDD4-48A3-9F3B-E75B11884AE7																																																													1	1	0.1																																																																									1	0.1	1																																	
																									0.25																	10.72						8.45												0.12																															0.04																	0.02												0.05							2.08			0.04													0.04			0.11														0.06									0.18																														0.05			8.45						10.72	0.15			0.12	0.06			0.04	GP169	9		1			1						1	1			1	1				1	8/15/2019 17:36				3			33						277	3			3	3				1																												1																	1						1												1																															1																	1												1							1			1													1			1														1									1																														Measure Fish	0	1		G19_GP169F	GP169F			8/15/2019						Code																														4																	277						33												3																															1																	1												3							80			1													2			1														3									52																																E14A19BE-E496-487F-B8DC-AE3D0FA8FA10																																		0.97	1	1																																																																																																				1	0.97	1																																	
																																										1.84						10.31												0.21						0.7																																										0.04												0.11				0.43			3.97																0.09																	0.05									0.03			0.13																									0.66		0.11			11.01			0.13			1.84	0.09			0.21	0.05	0.66			GP180	10		1			1			1			1	1			1	1	1				8/15/2019 18:45				4			58			1			24	4			2	3	3																																																1						1												1						1																																										1												1				1			1																1																	1									1			1																									1			0	0		G19_GP180F	GP180F			8/15/2019						Code																																															24						51												2						7																																										1												4				1			62																4																	3									8			1																									3				486BF39E-57AD-4114-A751-CBDBBFE2E494																																																																																																																																																																											
																				0.23					0.08																																									0.15						0.24																																																0.17				0.85			6.78																0.02																													0.82																											0.17			0.39			0.82				0.02								GP185	11		1			1			1				1									8/15/2019 19:50				9			3			3				2																															1					1																																									1						1																																																1				1			1																1																													1																												0	0		G19_GP185F	GP185F			8/15/2019			GPnum																												1					2																																									2						1																																																9				3			112																2																													3																													3D3FFE7C-94FA-4F1F-B1B5-357C9AC125E8				1	0.11	1																																																																																																																																		1	0.11	1																																	
																																																																																																																																																																																																																									GP221	1																					8/16/2019 5:40																																																																																																																																																																																																																																	0	0		G19_GP221F	GP221F			8/16/2019					Comment		Bad tow																																																																																																																																																																																																													71E0797D-61CC-4F7A-8132-97799F50057D																																																																																																																																																																											
																																																																																																																																																																																																																									GP221	2																					8/16/2019 6:23																																																																																																																																																																																																																																	0	0		G19_GP221A1	GP221A1			8/16/2019					Comment		Bad tow																																																																																																																																																																																																													EAFD4857-634B-4D02-8091-D9F11F237161																																																																																																																																																																											
																																																																																																																																																																																																																									GP221	3																					8/16/2019 7:21																																																																																																																																																																																																																																	0	0		G19_GP221A2	GP221A2			8/16/2019					Comment		Bad tow																																																																																																																																																																																																													161E9BB3-9D68-4567-9BF0-269C1EF10C89																																																																																																																																																																											
																									0.2									0.63								1.63		0.02																1.28						1.21			0.01			1.15														0.36																																				4.36					7.92									0.17							0.11		1.46	0.34								0.41		1.06				0.56															0.57																						0.04					2.37				0.36		1.63	2.08			1.28	1.62	0.04			GP221	4					1				1		1	1			1	1	1				8/16/2019 8:21							11				4		33	34			2	14	2																															1									1								1		1																1						1			1			1														1																																				1					1									1							1		1	1								1		1				1															1																						1			0	0		G19_GP221A3	GP221A3			8/16/2019						Code																														5									2								33		2																2						7			1			3														4																																				33					148									10							4		19	1								1		5				9															3																						2				AA667BF3-7030-4049-A6D2-311467F2437F																																																																																																																																																																											
																																																																																																																																																																																																																									GP191	1																					8/22/2019 8:05																																																																																																																																																																																																																																	0	0		G19_GP191F	GP191F			8/22/2019					Comment		Bad tow																																																																																																																																																																																																													F30ABC18-1C46-4E1A-9F2E-53232F36B424																																																																																																																																																																											
																							0.08		0.56										2.74							0.08						2.22							0.11					1.02						0.51																				1.42																																		0.06							27.88																0.12			0.26														0.84									0.49					0.11	1.23																						0.32		0.06			2.73		0.11		1.42		0.08	0.38			1.02	0.84	0.32			GP191	2		1			1		1		1		1	1			1	1	1				8/22/2019 14:21				1			15		2		16		1	6			3	16	12																													1		1										1							1						1							1					1						1																				1																																		1							1																1			1														1									1					1	1																						1			0	0		G19_GP191A1	GP191A1			8/22/2019						Code																												1		7										116							1						9							2					3						6																				16																																		1							528																5			1														16									159					1	6																						12				FF963E9E-A868-48B1-8D35-873A61E6DE10																																																													1	1	0.12																																																																									1	0.12	1																																	
																				0.16																																																																		0.26																																		0.08							29.12																			0.12							0.04							0.09									0.03															0.26													0.04		0.08							0.26			0.12				0.13	0.04			GP177	3		1							1			1				1	1				8/22/2019 15:38				2							3			1				5	1																										1																																																																		1																																		1							1																			1							1							1									1															1													1			0	0		G19_GP177F	GP177F			8/22/2019						Code																									1																																																																		3																																		2							762																			1							1							4									9															1													1				0FAD650A-A4A3-460E-8365-0191BBA35DAB																																																																																																																																																																											
																				1.28																						11.98																								3																				0.14																																		0.98		0.08					28.76									0.01									0.12								0.06							0.4																								0.02													0.06		0.98			3				0.14		11.98	0.13				0.46	0.06			GP164	4		1			1				1		1	1				1	1				8/22/2019 17:13				36			22				2		242	2				28	2																										1																						1																								1																				1																																		1		1					1									1									1								1							1																								1													1			0	0		G19_GP164F	GP164F			8/22/2019						Code																									2																						242																								22																				2																																		36		2					446									1									1								2							26																								1													2				9A098D90-18E1-4E9B-A870-EDDA590C9E17																																																																																																																																																																											
																									0.09										0.46							4.44																		0.65						2.13																				0.32																											0.12							0.15		0.15					7.9			0.13	0.01					0.27									0.12	0.38							0.02							0.11									0.53																												0.16		0.15			2.13				0.32		4.44	0.77			0.65	0.13	0.16	0.12	0.14	GP151	5		1			1				1		1	1			1	1	1		1	1	8/22/2019 18:51				7			19				3		58	24			3	6	6		2	8																												1										1							1																		1						1																				1																											1							1		1					1			1	1					1									1	1							1							1									1																												1			0	0		G19_GP151F	GP151F			8/22/2019						Code																														2										20							58																		3						19																				3																											2							7		2					278			5	3					22									1	1							1							5									93																												6				50D9EA2A-D885-4519-8475-D65E322C9550																																																													1	1	0.04																																																																									1	0.04	1																																	
																																			4.05							16.46														0.02										2.68																				0.16																																		0.78							12.97			0.21		0.01																					0.07																0.11			0.12																											0.78			2.68		0.02	0.12	0.16		16.46					0.07			0.22	GP126	1		1			1		1	1	1		1					1				1	8/23/2019 6:03				41			18		4	1	3		432					5				9																																						1							1														1										1																				1																																		1							1			1		1																					1																1			1																												0	0		G19_GP126F	GP126F			8/23/2019						Code																																								147							432														4										18																				3																																		41							404			7		2																					5																24			1																													0CDAE5B0-8AE9-429B-8987-F304C7AD9B79																																																																																																																																																																											
																																																												0.44						0.02																										0.06									0.11																			0.16							17.83																										0.13												0.06							0.24			0.08																								0.16			0.02	0.11		0.24							0.44	0.13				GP114	2		1			1	1		1							1	1					8/23/2019 6:57				4			1	1		1							3	4																																																																			1						1																										1									1																			1							1																										1												1							1			1																								Measure Fish	0	1		G19_GP114F	GP114F			8/23/2019					Comment		306 total plaices																																																																3						1																										1									1																			4							100																										4												1							1			2																										CF85B27D-D7A8-4837-9EA0-F4C00E1EAB1D																																																																																																																																																																											
																																																									0.07			0.18											0.22																																	0.04																0.18							7.27																0.04										0.02							0.06												0.35																									0.3		0.18			0.22		0.07	0.35				0.04			0.18	0.08	0.3	0.04		GP075	3		1			1		1	1				1			1	1	1	1	1		8/23/2019 8:19				10			11		4	1				2			1	4	1	1	1																																																													1			1											1																																	1																1							1																1										1							1												1																									1			0	0		G19_GP075F	GP075F			8/23/2019						Code																																																														4			1											11																																	1																10							106																2										1							3												1																									1				1907F9AA-7E0E-41C8-B8E9-DF222C187572																																		0.33	1	1																																											1	1	0.17																																																							2	0.5	1																																	
																																										48.16						0.52								0.01				0.21						1.57																																						0.08																0.1				0.32			19.92			0.18		0.01											0.04										0.02												0.22							1.08			0.74																								0.1			2.09		0.01	1.08			48.16	0.04			0.21	0.02		0.08	0.19	GP101	4		1			1		1	1			1	1			1	1		1	1	1	8/23/2019 9:50				4			10		5	2			1847	2			2	1		3	3	8																																													1						1								1				1						1																																						1																1				1			1			1		1											1										1												1							1			1																									0	0		G19_GP101F	GP101F			8/23/2019					Comment																																																1847						2								5				2						8																																						3																4				1			468			6		2											2										1												3							2			6																										68A6403E-6A2D-426F-859F-B65CCDB62AAB																																																																																																																																																																											
																																																					0.1				0.14			0.38						0.31																																																						0.43				1.26			17.66			0.06		0.01											0.06										0.22							0.42					0.05																																4.52		0.43			0.31		0.24					0.06			0.38	0.64	4.52		0.07	GP082	5		1			1		1					1			1	1	1			1	8/23/2019 11:19				17			4		11					2			4	25	8			3																																																								1				1			1						1																																																						1				1			1			1		1											1										1							1					1																																1		Measure Fish	0	1		G19_GP082F	GP082F			8/23/2019					Comment		Total plaices = 215																																																									1				10			4						4																																																						17				3			100			2		1											2										6							19					2																																8				5E607A75-9DF7-49A0-9408-E3F69FB79F89																																		9.28	1	1																									1	1	0.24																																																																									2	9.52	1																																	
																																																																																																																															5.63			0.06													0.02																																																																		0.02							0.06	GP060	6												1								1	8/23/2019 13:50														1								1																																																																																																																																		1			1													1																																																									0	0		G19_GP060F	GP060F			8/23/2019						Code																																																																																																																																				42			1													1																																																										D7403CE0-70CA-4481-B46F-A18EF0749BA1																																																																																																																																																																											
																																																								0.01																																																																							10.78			0.07									0.08				0.05																																																													0.01					0.05							0.07	GP062	7							1					1								1	8/23/2019 14:56									2					1								1																																																											1																																																																							1			1									1				1																																																									0	0		G19_GP062F	GP062F			8/23/2019						Code																																																													2																																																																							91			1									1				1																																																										EF5606DB-87C2-4642-B2D3-F82B64E01989																																																													1	1	0.04																																																																									1	0.04	1																																	
																									0.06																	1.57		0.17									0.11			0.01				0.68						1.45															0.43																																							0.24	0.01			0.43			11.23			0.02													0.04		0.12								0.1							0.21									0.28						1.28									0.09															0.24			1.45		0.12				1.57	0.16			0.68	0.31			0.02	GP069	8		1			1		1				1	1			1	1				1	8/23/2019 16:18				8			9		2				26	3			1	17				1																												1																	1		1									1			1				1						1															1																																							1	1			1			1			1													1		1								1							1									1						1									1																0	0		G19_GP069F	GP069F			8/23/2019						Code																														1																	26		35									1			1				1						9															2																																							8	1			1			223			1													2		1								3							14									56						7									1																	3C82E50F-5320-4072-AB44-00E390689469																																																																																																																																																																											
																									0.03																	8.04		0.57											0.04	0.01				0.08						0.83																									0.06																													0.07		0.18					4.58					0.01				0.03							0.05		0.26															0.02									0.62						0.19																								0.07			0.83		0.05				8.04	0.34			0.08	0.02			0.01	GP092	9		1			1		1				1	1			1	1				1	8/23/2019 17:23				1			4		2				244	12			1	2				1																												1																	1		1											1	1				1						1																									1																													1		1					1					1				1							1		1															1									1						1																									0	0		G19_GP092F	GP092F			8/23/2019						Code																														1																	244		103											1	1				1						4																									4																													1		2					83					1				4							4		4															2									101						2																										7A7AD003-DF59-47BE-B3D3-751E406DE9F6																																																																																																																																																																											
																																										0.03		0.19												0.01	0.01									1.49																																						0.04											0.01					0.08				0.33			12.52																0.03										0.24																																														0.08			1.49		0.02				0.03	0.03				0.24		0.04		GP087	10		1			1		1				1	1				1		1	1		8/23/2019 18:25				4			6		2				1	1				7		1	1																																														1		1												1	1									1																																						1											1					1				1			1																1										1																																															0	0		G19_GP087F	GP087F			8/23/2019						Code																																															1		27												1	1									6																																						1											1					4				1			159																1										7																																																97E93A96-D10C-45AB-9089-6E54C9D0EDC4																																																																																																																																																																											
																									0.11																	0.86						0.56					0.09							1.04																																																																0.39			7.03									0.03							0.01										0.42							0.19					0.04				0.36						0.73									0.02							1.61						2.86					0.56		0.09				0.86	0.04	1.61		1.04	0.61	2.86			GP100	11					1		1				1	1	1		1	1	1				8/23/2019 19:45							2		4				16	8	1		18	18	5																															1																	1						1					1							1																																																																1			1									1							1										1							1					1				1						1									1							1						1		Measure Fish	0	1		G19_GP100F	GP100F			8/23/2019					Comment		134 total plaices																													2																	16						2					4							18																																																																1			100									7							1										11							7					1				92						7									1							1						5				6F7535B1-A3D3-49DC-BC3D-C29C161E013F																																																													1	1	0.7																																																																									1	0.7	1																																	
																																																0.42																		0.52																										0.1									0.12																			0.01		0.06					19.73			0.18																							0.05																						1.18																						0.66		0.01			0.94	0.12										0.05	0.66		0.18	GP118	1		1			1	1										1	1			1	8/24/2019 14:40				1			6	1										2	1			5																																																			1																		1																										1									1																			1		1					1			1																							1																						1																						1			0	0		G19_GP118F	GP118F			8/24/2019						Code																																																					2																		4																										1									1																			1		1					393			5																							2																						15																						1				5AD007B9-9512-4475-835F-CDB52EEC080E																																																													1	1	0.32																																																																									1	0.32	1																																	
																				0.49																						1.11																											0.04			0.16																																				0.11												0.02		0.03					3.08					0.02				0.01							0.17		0.31	1.46														0.44									0.61						0.12																	0.44					0.29		0.02			0.2						1.11	1.95				0.44	0.73		0.02	GP143	2		1			1						1	1				1	1			1	8/24/2019 15:22				1			3						65	19				4	4			2																							1																						1																											1			1																																				1												1		1					1					1				1							1		1	1														1									1						1																	1					1			0	0		G19_GP143F	GP143F			8/24/2019						Code																									1																						65																											2			1																																				2												1		1					51					2				1							10		3	5														4									223						1																	1					3				53385B32-9A36-4877-A55A-B467A0435CD6																																																													1	1	0.28																																																																									1	0.28	1																																	
																																			0.07							10.78						0.42																		2.12																																																						0.03							2.53																0.02		0.08															0.03																																					0.79		0.03			2.54						10.78	0.1				0.03	0.79			GP157	3		1			1						1	1				1	1				8/24/2019 16:47				3			14						342	2				3	2																																									1							1						1																		1																																																						1							1																1		1															1																																					1			0	0		G19_GP157F	GP157F			8/24/2019						Code																																								1							342						2																		12																																																						3							99																1		1															3																																					2				38DBFAA2-42BD-46E8-BA91-0E813D802EBD																																																																																																																																																																											
																																										0.14																								0.69																																																						0.09							9.91			0.13													0.09										0.16																0.14															0.02															0.09			0.69						0.14	0.09				0.16			0.13	GP172	4		1			1						1	1				1				1	8/24/2019 18:13				5			7						2	4				6				4																																													1																								1																																																						1							1			1													1										1																1															1																0	0		G19_GP172F	GP172F			8/24/2019						Code																																															2																								7																																																						5							191			4													4										6																43															1																	8F901FA7-BFC1-479C-AFC5-07872591CED7																																																													1	1	0.08																																																																									1	0.08	1																																	
																																																																		0.15																				0.02																																									8.67			0.04									0.08														0.28																			1.06																									0.29					0.15			1.06	0.02							0.28	0.29		0.04	GP183	5					1			1	1							1	1			1	8/24/2019 19:32							2			2	1							9	1			1																																																																					1																				1																																									1			1									1														1																			1																									1			0	0		G19_GP183F	GP183F			8/24/2019			GPnum																																																																										2																				1																																									147			1									1														9																			2																									1				33595170-2F79-4B7C-9A71-B948304DFF1A																																																																																																																																																																											
																																																																																																																																																																																																																									GP201	1																					8/25/2019 6:06																																																																																																																																																																																																																																Measure Fish	0	1		G19_GP201F	GP201F			8/25/2019					Comment		Bad tow																																																																																																																																																																																																													1A74CE56-A480-4593-B70A-4D106F33D122																																																																																																																																																																											
																																																																																																																																																																																																																									GP201	2																					8/25/2019 6:32																																																																																																																																																																																																																																Measure Fish	0	1		G19_GP201A1	GP201A1			8/25/2019					Comment		Bad tow 																																																																																																																																																																																																													A05B4892-B4E2-4EB1-8A36-E16DBF8EE2A4																																																																																																																																																																											
