"variable","description","polygon","area","mean.sample","sd.sample","n","mean","sd","lowerCI","upperCI","mean.CV","mad.CV","sd.CV"
"MMGE95SC12","Commercial crab, shell condition 1,2","zone19_12_buffer",289.052790742378,0.400557959988337,0.302658831955585,2,0.553123875821415,0.40276714339765,0.124524955702629,1.60558041606982,-0.000874066178502301,0.000850191397869286,0.00120235220547969
"MMGE95SC3","Commercial crab, shell condition 3","zone19_12_buffer",289.052790742378,0.251493152698346,0.223757193601759,2,0.151061488826555,0.114142634353841,0.0322857581727875,0.44992252532014,0.00033897184180128,0.000633964145390991,0.000896560692470208
"MMGE95SC4","Commercial crab, shell condition 4","zone19_12_buffer",289.052790742378,0.144487096467449,0.0594800561642444,2,0.0612350261746602,0.0739045180930833,0.00609338442773343,0.250498822242466,0.000305686967309278,0.000159870481319902,0.00022609100290572
"MMGE95SC5","Commercial crab, shell condition 5","zone19_12_buffer",289.052790742378,0.0466364618816358,0.0659539168941052,2,0.017075082930724,0.0111724998242635,0.00443448034544309,0.0460378828984278,0.000110072998119467,0.0001715183086177,0.000242563518242445
"MM","Mature males","zone19_12_buffer",289.052790742378,1.72840809313063,0.597628493585813,2,1.90611849075823,0.838022954935976,0.765513367352335,3.9774119914122,-0.00134221548387948,0.00154069550534487,0.00217887247914598
"MMGE95","Commercial crab","zone19_12_buffer",289.052790742378,0.843174671035768,0.400982052498994,2,0.752798672183624,0.451481231527048,0.217838949911488,1.91330413367538,7.40869346006823e-05,0.00114015391508584,0.00161242112990718
"MML95","Sub-legal mature males","zone19_12_buffer",289.052790742378,0.885233422094862,0.196646441086818,2,1.07689473347901,0.545110093342242,0.376787982857686,2.45008945664839,-0.000994088441849172,0.00033742090978176,0.000477185226841634
"FI","Immature females","zone19_12_buffer",289.052790742378,0,0,2,0.711451882568394,2.27858022901399,0.0100458512739037,4.47575141544106,-0.00123162590194537,0.000204719741392475,0.000289517434762751
"FIGNO","Immature females, orange gonads","zone19_12_buffer",289.052790742378,0,0,2,0.281464183791073,0.761591692221987,0.00562722858776157,1.6918108951314,-0.000691922575045226,9.77344120377821e-05,0.000138217331014392
"FM","Mature females","zone19_12_buffer",289.052790742378,3.02335489685891,1.37369715566436,2,3.82651281457459,3.02166780802041,0.767362787668807,11.7525976960947,-0.00329760371034944,0.00474454157446212,0.00670979504184733
"FP","Primiparous females","zone19_12_buffer",289.052790742378,1.78334062300113,2.25820882780267,2,1.2702555705336,0.931448870948216,0.283205248057458,3.70519251102618,0.000373635004584473,0.00846960500874735,0.0119778302713136
"FMULT","Multiparous females","zone19_12_buffer",289.052790742378,1.24001427385778,0.884511672138308,2,2.42006813572209,2.93661840489593,0.238456976772611,9.93386054551806,-0.00427330686689032,0.00342417651292488,0.00484251686453778
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zone19_12_buffer",289.052790742378,0.153642518112533,0.217283332871898,2,0.615886515690866,0.697873464828225,0.0686415638058065,2.41949904842054,-0.00122197804198194,0.00118065881778767,0.0016697037126507
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zone19_12_buffer",289.052790742378,1.22456243407772,1.59988496845711,2,1.26517070904751,0.671927268046516,0.420627340091254,2.96818768636344,-0.00143582952674994,0.00532084433570839,0.00752481022283486
"MIGE83","Immature males, cw >= 83mm","zone19_12_buffer",289.052790742378,1.48063329759861,1.96202385657694,2,1.29674906283356,0.789023229084829,0.368758567112444,3.3279542908827,-0.000377694205101978,0.00589773603861784,0.00834065829310993
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zone19_12_buffer",289.052790742378,1.17334826137354,1.52745719083315,2,1.05907434208312,0.707142198287109,0.267935163317139,2.89540035029494,-0.000386609910866403,0.00460363382593035,0.00651052139283024
"MIGE83L98SC345","Skip-moulter males, cw >= 83mm, cw < 98mm","zone19_12_buffer",289.052790742378,0.819426763266842,1.15884444198346,2,0.398519787929149,0.325838292961235,0.0759029840940511,1.25404608680361,0.00115518060407574,0.00337976052949075,0.00477970317837909
