"variable","description","polygon","area","mean.sample","sd.sample","n.sample","mean","sd","lowerCI","upperCI","mean.CV","mad.CV","sd.CV"
"MIGE83L98SC345","Immature males, cw >= 83mm, cw < 98mm, shell condition 3,4,5","zone19_F_buffer",134.197262246307,0,NA,1,0.0783137546932004,0.169502203660182,0.00247968608371401,0.435088650288436,-0.000426191746937904,0,NA
"MIGE34L45","Immature males, cw >= 34mm, cw < 45mm","zone19_12_buffer",289.05279074419,0,0,2,0.131370049654769,0.606229152544358,0.000880319284273636,0.879309814494116,-0.000197840366957223,3.43233106191708e-05,4.85404913831759e-05
"MMGE95SC12","Mature males, cw >= 95mm, shell condition 1,2","zone19_12_buffer",289.05279074419,0.891816976086878,0.619237131268661,2,0.659544628523082,0.429274047785155,0.172451810434241,1.77184291681697,0.000649474234782238,0.00217962886446615,0.0030824607010679
"MMGE95SC3","Mature males, cw >= 95mm, shell condition 3","zone19_12_buffer",289.05279074419,0.482683514311662,0.0406350408054961,2,0.338542473098066,0.116271845180435,0.166405348658144,0.616075644980549,0.000428407554929237,0.000203840757284723,0.000288274363516458
"MMGE95SC4","Mature males, cw >= 95mm, shell condition 4","zone19_12_buffer",289.05279074419,0.272514690970418,0.0960929266846952,2,0.141047793935453,0.0458964797657236,0.0720232431316802,0.249776024091541,0.000467890392524823,0.000248958673661954,0.000352080732763153
"MMGE95SC5","Mature males, cw >= 95mm, shell condition 5","zone19_12_buffer",289.05279074419,0,0,2,0.00307091342542587,0.00903058139305134,5.17038291779491e-05,0.0189056901777173,-1.25946091105272e-05,1.0025363012153e-06,1.41780043395003e-06
"MM","Mature males","zone19_12_buffer",289.05279074419,2.40221338665104,0.508321359510263,2,2.37796914362013,0.805047746743778,1.18101580550484,4.29568995133094,-0.000577545762934521,0.00181250911232779,0.00256327496857879
"MMGE95","Mature males, cw >= 95mm","zone19_12_buffer",289.05279074419,1.64701518136896,0.563779245389462,2,1.10795992760441,0.465679031269456,0.463323199156509,2.25172327414011,0.00169339138068732,0.0017584900285498,0.00248688044767298
"MML95","Mature males, cw < 95mm","zone19_12_buffer",289.05279074419,0.755198205282079,0.0554578858791991,2,1.18431804137371,0.517096136880591,0.4786487265709,2.46116435183545,-0.00178685937118352,8.88021234584269e-05,0.000125585167362437
"FI","Immature females","zone19_12_buffer",289.05279074419,0.21577091579488,0.0158451102511997,2,1.61036961876796,2.18373251860206,0.129085343845987,7.07670059657779,-0.00436376332866184,0.000668761441017064,0.000945771499878507
"FIGNO","Immature females, orange gonads","zone19_12_buffer",289.05279074419,0,0,2,0.0434250026522102,0.563054237455031,3.94091910854961e-05,0.282934463507834,-0.000150487882969755,1.36699513817063e-05,1.93322306409898e-05
"FM","Mature females","zone19_12_buffer",289.05279074419,3.06217602022131,3.04660579523471,2,4.74042998048819,3.55885486580175,1.02247784450043,14.0556463837033,-0.00574586239999271,0.00995988007459069,0.0140853974810957
"FP","Primiparous females","zone19_12_buffer",289.05279074419,0.102283365443804,0.144650522615791,2,0.170897093389017,0.712549330893123,0.0014063494292281,1.12960311323059,-0.000170501242340001,0.000699519364899523,0.000989269772983519
"FMULT","Multiparous females","zone19_12_buffer",289.05279074419,2.9598926547775,2.90195527261892,2,4.61089279135046,3.53498678436794,0.96520377755905,13.8728004212813,-0.00553412581445194,0.00938870505035349,0.0132776340153307
"MIGE56L69","Immature males, cw >= 56mm, cw < 69mm","zone19_12_buffer",289.05279074419,0.76712524082853,1.08487891961843,2,0.565842250374819,0.680215794925294,0.0567125981015014,2.30893523363154,0.000235886002510994,0.00474522687543991,0.00671076420378443
"MIGE69L83","Immature males, cw >= 69mm, cw < 83mm","zone19_12_buffer",289.05279074419,2.09680899159798,2.96533571362372,2,1.37234146211105,0.610592667669159,0.545110611039364,2.8840128587091,0.00118956213732429,0.00941346627965626,0.0133126516816317
"MIGE83","Immature males, cw >= 83mm","zone19_12_buffer",289.05279074419,1.75002139745194,2.15391272898567,2,1.48079258234792,0.816652206862466,0.472272927429381,3.56015028073129,0.00043746884758944,0.00793064137323278,0.011215620588343
"MIGE83L98","Immature males, cw >= 83mm, cw < 98mm","zone19_12_buffer",289.05279074419,1.49431298384243,1.79228642244619,2,1.30926375606166,0.717074939405916,0.420807130173491,3.13356400025258,-0.000697978240751746,0.00564444340895526,0.00798244842099196
"MIGE83L98SC345","Immature males, cw >= 83mm, cw < 98mm, shell condition 3,4,5","zone19_12_buffer",289.05279074419,0.778329425735802,0.779732764135652,2,0.563453776664274,0.372714761621063,0.14429082572446,1.53056648202488,1.79331341004871e-05,0.0030424840819965,0.0043027222520637
